PID,Address,LotArea,FullBath,BedroomAbvGr,finishedsqft,DateSold,MoSold,YrSold,price,Neighborhood,totalrooms,BldgType,YrBuilt, zestimate ,zindexvalue,Zipcode,Longitude,Latitude
1,1160 Mission St UNIT 2007,43557,2,2,1043,2/17/2016,2,2016,1300000,South of Market,4,Condominium,2007,"1,167,508.00","975,700",94103,-122.412635,37.778705
2,260 King St UNIT 475,213232,1,1,903,2/17/2016,2,2016,750000,South of Market,3,Condominium,2004,"823,719.00","975,700",94107,-122.393417,37.777641
3,560 Missouri St # B,2496,4,3,1425,2/17/2016,2,2016,1495000,Potrero Hill,6,Condominium,2003,"1,708,594.00","1,277,600",94107,-122.396516,37.759198
4,350 Missouri St,2469,3,3,2231,2/17/2016,2,2016,2700000,Potrero Hill,10,SingleFamily,1927,"2,411,236.00","1,277,600",94107,-122.396769,37.761886
5,3658 Folsom St,1750,3,3,1300,2/17/2016,2,2016,1530000,Bernal Heights,4,SingleFamily,1900,"1,918,539.00","1,248,000",94110,-122.413453,37.740795
6,156 Lowell St,3000,1,2,1250,2/17/2016,2,2016,460000,Crocker Amazon,5,SingleFamily,1924,"703,392.00","823,000",94112,-122.446027,37.710226
7,735 Lakeview Ave,2495,1,3,1032,2/17/2016,2,2016,532000,Oceanview,6,SingleFamily,1939,"741,715.00","762,700",94112,-122.460332,37.718024
8,430 Capistrano Ave,3136,1,2,1200,2/17/2016,2,2016,1050000,Mission Terrace,5,SingleFamily,1924,"1,023,650.00","992,600",94112,-122.439273,37.725204
9,4135 23rd St,2944,3.5,4,2700,2/17/2016,2,2016,3500000,Noe Valley,9,SingleFamily,1912,"3,604,950.00","1,782,000",94114,-122.435011,37.752602
10,440 Steiner St,2885,2,3,2016,2/17/2016,2,2016,1500000,Hayes Valley,7,Condominium,1890,"1,547,314.00","1,224,800",94117,-122.432302,37.773237
11,414 Somerset St,2273,1,3,1798,2/17/2016,2,2016,848000,Portola,8,SingleFamily,1953,"933,506.00","888,400",94134,-122.407649,37.726252
12,300 Berry St UNIT 813,41861,1,1,761,2/17/2016,2,2016,1000000,South of Market,4,Condominium,2008,"931,039.00","975,700",94158,-122.39624,37.773929
13,370 Church St APT F,18656,1,1,780,8/12/2015,8,2015,863000,Eureka Valley - Dolores Heights - Castro,4,Condominium,1981,"847,894.00","1,744,100",94114,-122.429077,37.765062
14,10 22nd Ave,13812,5,5,5786,2/16/2016,2,2016,4888000,Lake,12,SingleFamily,1926,"7,159,444.00","2,244,500",94121,-122.481741,37.787088
15,1847 10th Ave,3000,2,2,1688,2/16/2016,2,2016,1000000,Inner Sunset,6,SingleFamily,1927,"1,106,369.00","1,357,900",94122,-122.466995,37.753756
16,442 Mangels Ave,2495,3,4,1619,2/16/2016,2,2016,210000,Sunnyside,7,SingleFamily,1966,"1,483,668.00","1,038,200",94127,-122.447605,37.733307
17,650 Turk St UNIT 706,15582,1,0,398,2/12/2016,2,2016,525000,Van Ness - Civic Center,4,Condominium,2008,"565,702.00","855,500",94102,-122.420166,37.782379
18,66 Rondel Pl,1503,4.5,4,2615,2/12/2016,2,2016,2300000,Mission,9,SingleFamily,1906,"1,613,306.00","1,185,400",94103,-122.421259,37.763849
19,1610 Sacramento St APT 5,4788,2,2,1252,2/12/2016,2,2016,1450000,Nob Hill,4,Condominium,2002,"1,386,684.00","1,459,200",94109,-122.419806,37.791904
20,1536 Pacific Ave # 1,5300,2,3,1444,2/12/2016,2,2016,2500000,Nob Hill,6,Condominium,2009,"2,125,825.00","1,459,200",94109,-122.420623,37.795383
21,541 Prentiss St,1751,2,3,1200,2/12/2016,2,2016,171000,Bernal Heights,5,SingleFamily,1953,"1,261,487.00","1,248,000",94110,-122.412103,37.73639
22,31 Hartford St,3271,1,2,1265,2/12/2016,2,2016,871500,Eureka Valley - Dolores Heights - Castro,5,Condominium,1902,"1,262,136.00","1,744,100",94114,-122.43369,37.76207
23,1600 Webster St APT 106,18978,1,1,859,2/12/2016,2,2016,900000,Lower Pacific Heights,4,Condominium,2005,"820,965.00","1,178,700",94115,-122.430955,37.78568
24,233 18th Ave,2989,1,2,1308,2/12/2016,2,2016,1020000,Central Richmond,5,Condominium,1914,"1,077,432.00","1,485,300",94121,-122.477794,37.783586
25,248 17th Ave,3000,1.5,2,1429,2/12/2016,2,2016,1410500,Central Richmond,6,Condominium,1922,"1,170,744.00","1,485,300",94121,-122.476049,37.783401
26,1374 45th Ave,4077,1,3,1771,2/12/2016,2,2016,951000,Outer Sunset,8,SingleFamily,1905,"956,441.00","1,031,800",94122,-122.504565,37.761002
27,1087 Palou Ave,1873,2,3,1452,2/12/2016,2,2016,430000,Bayview,8,SingleFamily,1900,"536,665.00","731,900",94124,-122.381454,37.728354
28,1486 Underwood Ave,2500,2,3,1115,2/12/2016,2,2016,680000,Bayview,6,SingleFamily,1931,"631,581.00","731,900",94124,-122.389531,37.728777
29,350 Lansdale Ave,9861,3,3,2378,2/12/2016,2,2016,1440000,Westwood Highlands,8,SingleFamily,1940,"1,709,182.00","1,424,100",94127,-122.458653,37.735851
30,120 Ulloa St,3101,2.5,2,2063,2/12/2016,2,2016,1700000,Forest Hill Extension,10,SingleFamily,1937,"1,755,644.00","1,669,300",94127,-122.455305,37.744348
31,159 Middlefield Dr,3301,3,3,2200,2/12/2016,2,2016,234000,Lakeshore,6,SingleFamily,1950,"1,455,842.00","1,264,800",94132,-122.486486,37.731436
32,8 Dunsmuir St,2548,1,2,1250,2/12/2016,2,2016,700000,Portola,5,SingleFamily,1936,"964,978.00","888,400",94134,-122.414514,37.730809
33,22 W View Ave,2495,1,2,970,2/12/2016,2,2016,744000,Portola,5,SingleFamily,1943,"736,105.00","888,400",94134,-122.418729,37.730916
34,4160 17th St,2628,2,2,911,2/11/2016,2,2016,1100000,Corona Heights,4,Condominium,1904,"938,211.00","1,475,100",94114,-122.438686,37.762498
35,1315 21st Ave,2374,1.25,2,1621,2/11/2016,2,2016,1325000,Central Sunset,6,SingleFamily,1911,"1,225,848.00","1,125,700",94122,-122.479527,37.763108
36,4229 26th St,2736,3,3,2048,2/11/2016,2,2016,2525000,Noe Valley,7,SingleFamily,1900,"2,641,338.00","1,782,000",94131,-122.434812,37.747788
37,361 Texas St,2495,2,3,2080,2/10/2016,2,2016,2300000,Potrero Hill,7,SingleFamily,1906,"2,058,271.00","1,277,600",94107,-122.395171,37.761845
38,667 Shotwell St # A,0,1,1,1212,2/10/2016,2,2016,775000,Mission,4,Condominium,1890,"1,197,178.00","1,185,400",94110,-122.415629,37.757851
39,2919 Pacific Ave APT 6,6851,2,2,1125,2/10/2016,2,2016,1457000,Pacific Heights,4,Condominium,1905,"1,488,108.00","1,910,700",94115,-122.44344,37.79197
40,2455 14th Ave,4046,3.75,4,1846,2/10/2016,2,2016,1525000,West Portal,5,SingleFamily,1932,"1,195,679.00","1,565,000",94116,-122.470518,37.742271
41,30 Beaumont Ave,2863,1,3,1164,2/10/2016,2,2016,550000,Lone Mountain,6,SingleFamily,1922,"1,247,699.00","1,447,700",94118,-122.454866,37.780933
42,108 16th Ave,2750,5,7,4808,2/10/2016,2,2016,3800000,Lake,15,MultiFamily2To4,1914,"4,498,161.00","2,244,500",94118,-122.475319,37.785945
43,766 30th Ave,3000,4,4,2520,2/10/2016,2,2016,1900000,Central Richmond,8,SingleFamily,1927,"1,931,715.00","1,485,300",94121,-122.489397,37.774837
44,601 Van Ness Ave APT 629,105806,1,1,706,2/9/2016,2,2016,620000,Van Ness - Civic Center,3,Condominium,1982,"623,886.00","855,500",94102,-122.421406,37.781386
45,260 King St UNIT 815,213232,1,1,903,2/9/2016,2,2016,800000,South of Market,3,Condominium,2004,"807,995.00","975,700",94107,-122.393417,37.777641
46,2040 Fell St APT 12,33772,1,2,1593,2/9/2016,2,2016,872500,North Panhandle,4,Condominium,1925,"996,489.00","1,231,800",94117,-122.451587,37.772597
47,784-786 Spruce St,2495,3,8,2600,2/9/2016,2,2016,1535000,Lone Mountain,10,MultiFamily2To4,1927,"1,524,759.00","1,447,700",94118,-122.452663,37.780606
48,1444 17th Ave # 101,3000,3,3,1902,2/9/2016,2,2016,1600000,Inner Sunset,6,Condominium,1996,"1,419,587.00","1,357,900",94122,-122.474469,37.760979
49,1618 12th Ave,3015,3,4,2900,2/9/2016,2,2016,1625000,Inner Sunset,8,Condominium,2001,"1,597,121.00","1,357,900",94122,-122.468775,37.757906
50,5696 Diamond Heights Blvd,2585,3.5,3,2435,2/9/2016,2,2016,2050000,Diamond Heights,7,SingleFamily,1980,"2,016,900.00","1,098,500",94131,-122.439262,37.738831
51,901 Post St # 2,700,2,3,1207,2/8/2016,2,2016,885000,Downtown,9,Condominium,2002,"1,626,076.00","807,800",94109,-122.416761,37.787089
52,66 Cleary Ct APT 1504,65376,2,3,1106,2/8/2016,2,2016,960000,Western Addition,6,Condominium,1963,"957,064.00","983,400",94109,-122.427058,37.784298
53,1800 Bryant St STE 202,14972,2,1,935,2/8/2016,2,2016,825000,Mission,3,Condominium,2000,"889,532.00","1,185,400",94110,-122.410828,37.764088
54,3919 17th St,1584,1,2,968,2/8/2016,2,2016,1065000,Eureka Valley - Dolores Heights - Castro,4,MultiFamily2To4,1910,"989,982.00","1,744,100",94114,-122.433456,37.76241
55,325 Locust St,312,2,3,1950,2/8/2016,2,2016,1925000,Presidio Heights,7,Condominium,1905,"2,521,256.00","5,333,500",94118,-122.452338,37.787916
56,50 Longview Ct,2805,2,4,1703,2/8/2016,2,2016,1250000,Midtown Terrace,8,SingleFamily,1955,"1,358,996.00","1,117,200",94131,-122.450795,37.748415
57,2243 Franklin St,3582,2,2,1463,2/5/2016,2,2016,1950000,Pacific Heights,7,Condominium,1900,"1,922,387.00","1,910,700",94109,-122.425309,37.795139
58,576 Brunswick St,2661,1,2,1200,2/5/2016,2,2016,609000,Crocker Amazon,5,SingleFamily,1931,"637,413.00","823,000",94112,-122.445075,37.710208
59,79 Seward St,2622,2,3,2650,2/5/2016,2,2016,2350000,Eureka Valley - Dolores Heights - Castro,8,SingleFamily,1929,"2,211,797.00","1,744,100",94114,-122.440801,37.758626
60,2105 Buchanan St APT 6,4668,2,3,1700,2/5/2016,2,2016,1770000,Pacific Heights,5,Condominium,1921,"1,137,507.00","1,910,700",94115,-122.430787,37.789597
61,2017 Buchanan St,2152,4,4,2850,2/5/2016,2,2016,2800000,Lower Pacific Heights,7,Condominium,1890,"3,032,479.00","1,178,700",94115,-122.430728,37.788913
62,1015 Ashbury St APT 2,4988,2,2,1252,2/5/2016,2,2016,1350000,Parnassus - Ashbury,4,Condominium,1913,"1,300,995.00","2,151,400",94117,-122.446342,37.76432
63,170 Bridgeview Dr,3070,2,3,1297,2/5/2016,2,2016,725000,Silver Terrace,6,SingleFamily,1964,"797,170.00","736,700",94124,-122.397062,37.735503
64,884 Ingerson Ave,2495,3,5,1789,2/5/2016,2,2016,850000,Bayview,8,SingleFamily,1964,"910,894.00","731,900",94124,-122.390617,37.71805
65,475 Princeton St,1751,1,2,1254,2/5/2016,2,2016,860000,Portola,5,SingleFamily,1949,"789,444.00","888,400",94134,-122.413872,37.72396
66,333 1st St UNIT 1702,38571,1,1,713,2/4/2016,2,2016,885000,South Beach,3,Condominium,2004,"903,954.00","1,286,900",94105,-122.393642,37.787031
67,961A Rhode Island St,2495,2.5,4,2166,6/11/2015,6,2015,1600000,Potrero Hill,11,MultiFamily2To4,1908,"1,599,122.00","1,277,600",94107,-122.401578,37.757681
68,415 Amherst St,1751,1,2,1000,2/4/2016,2,2016,760000,Portola,4,SingleFamily,1949,"765,401.00","888,400",94134,-122.415124,37.724352
69,201 Holly Park Cir,1712,2,3,2250,2/3/2016,2,2016,227500,Bernal Heights,8,SingleFamily,1910,"1,402,002.00","1,248,000",94110,-122.418634,37.737764
70,30 Otsego Ave,3140,2,3,1806,2/3/2016,2,2016,1300000,Mission Terrace,7,SingleFamily,1924,"1,211,468.00","992,600",94112,-122.439334,37.726945
71,80 Venus St,2487,1.5,3,1200,2/3/2016,2,2016,810000,Silver Terrace,5,SingleFamily,1941,"696,627.00","736,700",94124,-122.397584,37.731771
72,1816 Castro St,3180,1,2,884,2/3/2016,2,2016,850000,Noe Valley,5,Condominium,1918,"1,027,971.00","1,782,000",94131,-122.433868,37.747035
73,149 Laidley St,2500,2,3,2100,2/3/2016,2,2016,1950000,Glen Park,10,SingleFamily,1900,"1,880,749.00","1,660,200",94131,-122.428899,37.739623
74,737 Tehama St # 1,1554,2,2,977,2/2/2016,2,2016,1030000,South of Market,5,Condominium,2006,"1,004,132.00","975,700",94103,-122.411567,37.775184
75,319 De Long St,2256,1,2,875,2/2/2016,2,2016,565000,Outer Mission,4,SingleFamily,1950,"642,369.00","814,200",94112,-122.465031,37.709411
76,1655 48th Ave,2996,1,2,697,2/2/2016,2,2016,762000,Outer Sunset,4,SingleFamily,1904,"711,217.00","1,031,800",94122,-122.508063,37.755586
77,4219 Folsom St,1751,2,3,1539,2/1/2016,2,2016,950000,Bernal Heights,7,SingleFamily,1976,"965,984.00","1,248,000",94110,-122.413534,37.734334
78,403 Main St APT 518N,29037,2,2,1118,1/29/2016,1,2016,1415000,South Beach,5,Condominium,1997,"1,277,409.00","1,286,900",94105,-122.389643,37.788008
79,188 Minna St APT 38C,33056,2.5,2,1670,1/29/2016,1,2016,7500000,Yerba Buena,5,Condominium,2005,"4,118,863.00","1,006,900",94105,-122.401374,37.786289
80,1200 Gough St APT 22B,44676,1,0,550,1/29/2016,1,2016,650000,Van Ness - Civic Center,2,Condominium,1966,"667,585.00","855,500",94109,-122.423994,37.78482
81,979 Guerrero St,0,2,3,1440,1/29/2016,1,2016,1275000,Mission,7,Condominium,1885,"1,472,631.00","1,185,400",94110,-122.42316,37.755554
82,1940 Buchanan St,1851,1,3,1480,1/29/2016,1,2016,1250000,Lower Pacific Heights,5,Condominium,1904,"1,574,733.00","1,178,700",94115,-122.430024,37.788038
83,2275 47th Ave,2996,2.5,4,2193,1/29/2016,1,2016,1225000,Outer Parkside,7,SingleFamily,1962,"1,358,925.00","981,900",94116,-122.506187,37.744067
84,988 Fulton St APT 326,41262,1,1,417,1/29/2016,1,2016,555000,Western Addition,5,Condominium,1999,"588,432.00","983,400",94117,-122.43251,37.778034
85,487 19th Ave,2063,4,4,2596,1/29/2016,1,2016,1900000,Central Richmond,9,SingleFamily,1916,"2,102,133.00","1,485,300",94121,-122.478448,37.778728
86,448 Gold Mine Dr,2935,3,4,2200,1/29/2016,1,2016,1558000,Diamond Heights,7,SingleFamily,1968,"1,775,216.00","1,098,500",94131,-122.4371,37.739244
87,8200 Oceanview Ter APT 310,325629,2,2,969,1/29/2016,1,2016,658000,Ingleside Heights,4,Condominium,2002,"629,228.00","710,500",94132,-122.467645,37.71048
88,750 Delano Ave,1680,1,2,840,1/28/2016,1,2016,738000,Outer Mission,4,SingleFamily,1987,"715,379.00","814,200",94112,-122.445759,37.719505
89,5 Lobos St,5871,2,4,1726,1/28/2016,1,2016,950000,Oceanview,7,SingleFamily,1974,"939,221.00","762,700",94112,-122.452504,37.714682
90,4524 Balboa St,3162,1,2,1200,1/28/2016,1,2016,961000,Outer Richmond,5,SingleFamily,1918,"913,987.00","1,214,000",94121,-122.507477,37.775504
91,527 Randolph St,1973,1,2,950,1/28/2016,1,2016,695500,Ingleside Heights,4,SingleFamily,1947,"643,848.00","710,500",94132,-122.467584,37.714051
92,1407 Montgomery St APT 2,2187,1,1,1000,1/28/2016,1,2016,976000,Telegraph Hill,3,Condominium,1870,"1,044,112.00","1,238,700",94133,-122.404941,37.802299
93,574 Natoma St APT 102,0,1,0,376,1/27/2016,1,2016,502000,South of Market,1,Condominium,2012,"513,968.00","975,700",94103,-122.409446,37.779014
94,65 Bishop St,2500,1,3,800,1/27/2016,1,2016,675000,Visitacion Valley,4,SingleFamily,1900,"692,286.00","707,100",94134,-122.404179,37.718075
95,701 Pennsylvania Ave # T13,7569,2,1,842,3/24/2015,3,2015,640000,Potrero Hill,2,Condominium,1999,"905,401.00","1,277,600",94107,-122.39283,37.75738
96,88 King St UNIT 1121,82157,2,2,1111,1/26/2016,1,2016,1650000,South Beach,4,MultiFamily2To4,2000,"1,376,614.00","1,286,900",94107,-122.389648,37.780117
97,57 Moneta Way,2339,1,4,1325,1/26/2016,1,2016,860000,Outer Mission,6,SingleFamily,1929,"932,005.00","814,200",94112,-122.449446,37.712918
98,164 Seville St,2421,3,3,2234,1/26/2016,1,2016,1125000,Crocker Amazon,3,SingleFamily,1924,"917,185.00","823,000",94112,-122.437085,37.711727
99,145-147 Alpine Ter,3153,5.5,6,4749,1/26/2016,1,2016,5100000,Buena Vista Park,10,SingleFamily,2007,"4,791,629.00","1,500,900",94117,-122.437144,37.768186
100,3023 Broderick St,2579,2.5,3,1591,1/26/2016,1,2016,1800000,Cow Hollow,9,Condominium,1938,"2,145,649.00","2,151,200",94123,-122.44452,37.798244
101,4173 Cesar Chavez St,2848,4,4,3480,1/26/2016,1,2016,4500000,Noe Valley,8,SingleFamily,1900,"2,962,385.00","1,782,000",94131,-122.432912,37.747092
102,830 Alabama St # B,0,2,3,1853,1/25/2016,1,2016,1370000,Mission,9,Condominium,1900,"1,642,925.00","1,185,400",94110,-122.411765,37.75816
103,95 Stoneyford Ave,2208,2,3,1400,1/25/2016,1,2016,910000,Excelsior,6,SingleFamily,1942,"863,116.00","767,600",94112,-122.42111,37.729425
104,518 Oak St,1994,1,2,1105,1/22/2016,1,2016,1475000,Hayes Valley,6,SingleFamily,1870,"1,365,025.00","1,224,800",94102,-122.428491,37.774467
105,1160 Mission St UNIT 1908,43557,2,2,1201,1/22/2016,1,2016,1475000,South of Market,4,Condominium,2008,"1,418,851.00","975,700",94103,-122.412635,37.778705
106,451 Kansas St UNIT 461,80311,1,0,450,1/22/2016,1,2016,640000,Potrero Hill,2,Condominium,2007,"631,335.00","1,277,600",94107,-122.402984,37.764114
107,2002 Pacific Ave APT 4,5500,3.5,3,3291,1/22/2016,1,2016,4200000,Pacific Heights,7,Condominium,1961,"4,163,277.00","1,910,700",94109,-122.428513,37.794429
108,554 Anderson St,1751,1,2,1015,1/22/2016,1,2016,920000,Bernal Heights,5,SingleFamily,1910,"738,780.00","1,248,000",94110,-122.415593,37.736454
109,566 S Van Ness Ave APT 9,12255,2,2,941,1/22/2016,1,2016,945000,Mission,5,Condominium,2007,"1,000,174.00","1,185,400",94110,-122.417823,37.763992
110,624 Hampshire St,2495,1,2,962,1/22/2016,1,2016,1250000,Mission,5,SingleFamily,1900,"1,082,093.00","1,185,400",94110,-122.408461,37.761456
111,40 Mirabel Ave,1799,2,2,1393,1/22/2016,1,2016,1530000,Bernal Heights,6,SingleFamily,1924,"1,481,020.00","1,248,000",94110,-122.416564,37.746247
112,712 Dorado Ter # 53,87122,2.5,2,1332,1/22/2016,1,2016,780000,Mount Davidson Manor,4,Condominium,1985,"773,173.00","1,378,600",94112,-122.4616,37.725575
113,264 Grand View Ave,2495,1,1,590,1/22/2016,1,2016,1193000,Twin Peaks,5,SingleFamily,1907,"1,064,070.00","1,180,100",94114,-122.441489,37.754001
114,4450 24th St,2945,3,4,2500,1/22/2016,1,2016,1400000,Noe Valley,5,SingleFamily,1900,"2,088,377.00","1,782,000",94114,-122.441843,37.751072
115,584-588 Sanchez St,2625,4,4,2610,1/22/2016,1,2016,2210000,Eureka Valley - Dolores Heights - Castro,13,MultiFamily2To4,1900,"3,230,417.00","1,744,100",94114,-122.43077,37.759799
116,300 Castro St,4691,3,4,2451,1/22/2016,1,2016,2400000,Corona Heights,12,Miscellaneous,1900,"2,089,411.00","1,475,100",94114,-122.435614,37.763918
117,2319 39th Ave,2996,2,4,1362,1/22/2016,1,2016,890000,Outer Parkside,6,SingleFamily,1955,"1,233,120.00","981,900",94116,-122.497548,37.743541
118,27 Cutler Ave,2495,3,4,1622,1/28/2016,1,2016,1325000,Outer Parkside,9,SingleFamily,1949,"751,906.00","981,900",94116,-122.505856,37.736824
119,1535 Oak St APT 2,3710,1,1,765,1/22/2016,1,2016,815000,Haight-Ashbury,12,Condominium,1924,"940,621.00","1,369,500",94117,-122.4446,37.771928
120,558-560 17TH Ave,2996,3,5,1990,1/22/2016,1,2016,1240000,Central Richmond,8,MultiFamily2To4,1916,"1,810,327.00","1,485,300",94121,-122.47562,37.777463
121,1722 31st Ave,3000,2,4,1824,1/22/2016,1,2016,1700000,Central Sunset,6,SingleFamily,1940,"965,204.00","1,125,700",94122,-122.489092,37.755071
122,17 San Andreas Way,11360,4.5,5,4095,1/22/2016,1,2016,3750000,St. Francis Wood,9,SingleFamily,1937,"4,381,290.00","3,056,100",94127,-122.463624,37.734454
123,319 Arleta Ave,2500,3,5,1875,1/22/2016,1,2016,417000,Visitacion Valley,7,SingleFamily,1989,"862,924.00","707,100",94134,-122.409432,37.714392
124,4390 26th St,1724,3,5,2837,1/22/2016,1,2016,2600000,Noe Valley,9,SingleFamily,1928,"2,706,923.00","1,782,000",94131,-122.437943,37.748021
125,250 King St UNIT 1008,213232,1,1,787,1/21/2016,1,2016,825000,South of Market,3,Condominium,2004,"794,744.00","975,700",94107,-122.393157,37.777374
126,724 Noe St,2827,2,3,1577,1/21/2016,1,2016,1680000,Eureka Valley - Dolores Heights - Castro,6,SingleFamily,1927,"1,934,498.00","1,744,100",94114,-122.432758,37.757402
127,855 La Playa St APT 162,36683,1,1,805,1/21/2016,1,2016,578000,Outer Richmond,4,Condominium,1982,"587,098.00","1,214,000",94121,-122.510375,37.772199
128,855 La Playa St APT 360,36683,2,2,1193,1/21/2016,1,2016,750000,Outer Richmond,4,Condominium,1982,"851,710.00","1,214,000",94121,-122.510375,37.772199
129,4220 Irving St,2495,2,3,1675,1/21/2016,1,2016,1150000,Outer Sunset,7,SingleFamily,1950,"966,107.00","1,031,800",94122,-122.503312,37.762654
130,1423 Oakdale Ave,2495,2,3,1125,1/21/2016,1,2016,638000,Bayview,4,SingleFamily,1938,"601,102.00","731,900",94124,-122.38726,37.732554
131,15 Bishop St,2500,3,4,2200,1/21/2016,1,2016,851000,Visitacion Valley,8,SingleFamily,1980,"873,975.00","707,100",94134,-122.403955,37.718594
132,9 Edgar Pl,2694,4,4,1800,1/20/2016,1,2016,1175000,Ingleside,8,SingleFamily,1925,"937,445.00","814,200",94112,-122.452421,37.720695
133,1949 Mcallister St,3437,3,2,2160,1/20/2016,1,2016,1505000,North Panhandle,7,Condominium,1900,"2,315,675.00","1,231,800",94115,-122.444044,37.776786
134,10 Miller Pl APT 701,5236,2,2,1000,1/19/2016,1,2016,1290000,Nob Hill,4,MultiFamily2To4,1963,"1,795,546.00","1,459,200",94108,-122.40891,37.793228
135,766 40th Ave,3000,1,2,1034,1/19/2016,1,2016,1000000,Outer Richmond,5,SingleFamily,1924,"1,101,153.00","1,214,000",94121,-122.500107,37.774327
136,22 Magnolia St,1600,1,2,1231,1/19/2016,1,2016,1375000,Marina,5,Condominium,1927,"1,441,734.00","2,186,800",94123,-122.43171,37.80106
137,170 King St UNIT 928,42969,2,2,1092,1/15/2016,1,2016,1262500,South Beach,4,Condominium,2007,"1,312,018.00","1,286,900",94107,-122.391754,37.77898
138,29 Cumberland St,2877,1,3,1525,1/15/2016,1,2016,1300000,Mission,6,Condominium,1907,"1,537,770.00","1,185,400",94110,-122.424258,37.758876
139,101 Lombard St APT 610W,113438,1,1,1030,1/15/2016,1,2016,876500,Telegraph Hill,4,Condominium,1984,"1,028,719.00","1,238,700",94111,-122.40409,37.80347
140,89 Theresa St,1799,1,2,1088,1/15/2016,1,2016,875000,Mission Terrace,5,SingleFamily,1923,"876,871.00","992,600",94112,-122.434292,37.728438
141,2200 Sacramento St APT 901,17550,2,1,952,1/15/2016,1,2016,1125000,Pacific Heights,4,Condominium,1964,"1,170,349.00","1,910,700",94115,-122.429498,37.790681
142,2299 Sacramento St APT 3,6381,1,2,1406,1/15/2016,1,2016,1150000,Pacific Heights,5,Condominium,1913,"1,262,766.00","1,910,700",94115,-122.43048,37.790011
143,2133-2137 Pine St,2500,7,9,5085,1/15/2016,1,2016,1550000,Lower Pacific Heights,15,MultiFamily2To4,1900,"5,461,047.00","1,178,700",94115,-122.431495,37.787988
144,2670 47th Ave,2996,3,4,1546,1/15/2016,1,2016,1075000,Outer Parkside,7,SingleFamily,1944,"1,013,806.00","981,900",94116,-122.505008,37.736702
145,107 19th Ave,3250,2,2,1125,1/15/2016,1,2016,1150000,Lake,4,Condominium,1921,"1,292,703.00","2,244,500",94121,-122.478874,37.785783
146,1501 Greenwich St UNIT 304,12161,2,2,958,1/15/2016,1,2016,1150000,Cow Hollow,4,Condominium,2008,"1,216,690.00","2,151,200",94123,-122.424682,37.80009
147,1738 Lombard St # T4,5844,2,2,1078,1/15/2016,1,2016,1400000,Marina,4,Condominium,2004,"1,349,828.00","2,186,800",94123,-122.430229,37.80091
148,3725 Webster St,2500,2,3,1717,1/15/2016,1,2016,1963000,Marina,13,SingleFamily,1938,"2,546,902.00","2,186,800",94123,-122.435725,37.805118
149,3027 Webster St,1816,3.5,3,2002,1/15/2016,1,2016,2350000,Cow Hollow,9,SingleFamily,1906,"2,670,211.00","2,151,200",94123,-122.43433,37.798579
150,1546 Mckinnon Ave,2500,2,4,1175,1/15/2016,1,2016,720000,Bayview,5,SingleFamily,1940,"735,339.00","731,900",94124,-122.388068,37.735509
151,478 Los Palmos Dr,2644,1,3,1450,1/15/2016,1,2016,1200000,Westwood Highlands,6,SingleFamily,1947,"1,196,619.00","1,424,100",94127,-122.452493,37.734682
152,367 Vernon St,2495,3,4,2100,1/15/2016,1,2016,1300000,Merced Heights,7,SingleFamily,1937,"1,042,186.00","874,200",94132,-122.468325,37.719099
153,115 Colby St,1750,3,3,1753,1/15/2016,1,2016,950000,Portola,7,SingleFamily,1970,"953,825.00","888,400",94134,-122.413656,37.728726
154,138 Bronte St,1751,1,2,1077,1/14/2016,1,2016,1045000,Bernal Heights,6,SingleFamily,1950,"1,118,463.00","1,248,000",94110,-122.410499,37.737634
155,1819 26th Ave,2996,1,2,1175,1/14/2016,1,2016,1000000,Central Sunset,5,SingleFamily,1939,"1,205,558.00","1,125,700",94122,-122.484273,37.75348
156,2421 Franklin St,3034,4,4,2096,1/14/2016,1,2016,2400000,Pacific Heights,8,Condominium,1922,"2,765,504.00","1,910,700",94123,-122.425354,37.79675
157,2865 Vallejo St,3436,2,3,2230,1/14/2016,1,2016,7450000,Pacific Heights,9,SingleFamily,1925,"8,086,133.00","1,910,700",94123,-122.444385,37.79376
158,1455 Oakdale Ave,2495,3,5,1594,1/14/2016,1,2016,935000,Bayview,8,SingleFamily,1964,"769,558.00","731,900",94124,-122.387815,37.732869
159,1920 Jones St,2100,2,3,1675,1/14/2016,1,2016,1950000,Russian Hill,6,Condominium,1906,"2,406,148.00","1,630,000",94133,-122.41542,37.799094
160,231 Clinton Park,2687,1,2,1440,1/13/2016,1,2016,1380000,Mission,5,Condominium,1922,"1,370,100.00","1,185,400",94103,-122.425243,37.768869
161,721 Delano Ave,2121,1,1,1210,1/13/2016,1,2016,700000,Outer Mission,5,SingleFamily,1930,"642,354.00","814,200",94112,-122.445083,37.719729
162,324 Chicago Way,3231,1,3,1465,1/13/2016,1,2016,990000,Crocker Amazon,7,SingleFamily,1924,"911,446.00","823,000",94112,-122.433129,37.709611
163,2470 Broadway St,3781,5,5,3851,1/13/2016,1,2016,6500000,Pacific Heights,13,SingleFamily,1910,"7,868,171.00","1,910,700",94115,-122.437789,37.794209
164,528 34th Ave,3000,6,8,4158,1/13/2016,1,2016,2240000,Outer Richmond,15,Duplex,1987,"2,357,494.00","1,214,000",94121,-122.494007,37.779053
