PID,Address,LotArea,FullBath,BedroomAbvGr,finishedsqft,DateSold,MoSold,YrSold,price,Neighborhood,totalrooms,BldgType,YrBuilt, zestimate ,zindexvalue,Zipcode,Longitude,Latitude
10995,2014 45th Ave,2250,1,3,1214,8/3/2012,8,2012,560000,Outer Parkside,5,SingleFamily,1946,"897,834.00","982,900",94116,-122.50377,37.748942
10996,1 Daniel Burnham Ct APT 1602,25700,1,1,879,8/3/2012,8,2012,580000,Van Ness - Civic Center,4,Condominium,1988,"863,814.00","839,200",94109,-122.4225,37.786755
10997,2800 California St # 205,3485,1,1,842,8/3/2012,8,2012,626000,Pacific Heights,4,Condominium,1987,"914,055.00","1,884,400",94115,-122.44083,37.78829
10998,1831 39th Ave,2996,2,3,1177,8/3/2012,8,2012,650000,Outer Sunset,5,SingleFamily,1947,"1,000,370.00","1,030,300",94122,-122.498186,37.752656
10999,828 York St,3507,1,2,998,8/3/2012,8,2012,690000,Mission,4,Condominium,1906,"837,924.00","1,167,700",94110,-122.409034,37.75875
11000,303 Greenwich St APT 2,3285,1,1,705,8/3/2012,8,2012,769000,Telegraph Hill,3,Condominium,1977,"828,647.00","1,215,500",94133,-122.404966,37.802701
11001,315 Virginia Ave,1650,2,2,1000,8/3/2012,8,2012,770000,Bernal Heights,6,Duplex,1908,"1,159,632.00","1,214,400",94110,-122.418539,37.741773
11002,1280 Minnesota St APT 301,0,2,3,1269,8/3/2012,8,2012,804000,Central Waterfront - Dogpatch,5,Condominium,2012,"1,257,875.00","1,124,600",94107,-122.389954,37.754346
11003,1327 7th Ave,8813,2,3,1455,12/22/2009,12,2009,1255000,Inner Sunset,5,SingleFamily,2009,"1,621,294.00","1,348,400",94122,-122.464167,37.763431
11004,3190 Scott St APT 302,7501,2,2,1037,8/3/2012,8,2012,935000,Cow Hollow,4,Condominium,2010,"1,131,450.00","2,134,300",94123,-122.440902,37.799032
11005,2126-2130 Hayes St,4125,3.5,4,2614,9/4/2015,9,2015,1950000,North Panhandle,23,Condominium,1904,"1,754,801.00","1,211,900",94117,-122.451579,37.773519
11006,425 1st St UNIT 2202,56023,2,2,1309,8/3/2012,8,2012,1200000,South Beach,4,Condominium,2008,"2,275,040.00","1,269,100",94105,-122.392173,37.786064
11007,1326 Green St,3485,1,2,1639,8/3/2012,8,2012,1230000,Russian Hill,5,Condominium,1908,"1,696,187.00","1,608,800",94109,-122.42109,37.79821
11008,3016 Sacramento St,2614,1.5,2,1408,12/22/2015,12,2015,1853000,Pacific Heights,5,Condominium,1890,"1,613,088.00","1,884,400",94115,-122.442995,37.78897
11009,376 Hill St,7236,4.5,4,2775,8/3/2012,8,2012,3400000,Eureka Valley - Dolores Heights - Castro,11,SingleFamily,1907,"6,236,028.00","1,718,500",94114,-122.429453,37.755832
11010,38 Meda Ave,1750,1,2,1310,8/2/2012,8,2012,290000,Mission Terrace,5,SingleFamily,1916,"1,135,224.00","986,000",94112,-122.44158,37.723823
11011,1145 Pine St APT 22,16988,1,1,600,8/2/2012,8,2012,420000,Downtown,3,Condominium,1912,"692,925.00","795,400",94109,-122.414729,37.790075
11012,20 Edgar Pl,2313,2,3,1000,8/2/2012,8,2012,495000,Ingleside,7,SingleFamily,1924,"783,915.00","799,700",94112,-122.451965,37.72102
11013,227 Mangels Ave,2809,1,2,1049,8/2/2012,8,2012,565000,Sunnyside,5,SingleFamily,1957,"1,174,214.00","1,030,800",94131,-122.442783,37.732879
11014,65 Glover St,0,1,1,707,8/2/2012,8,2012,615000,Russian Hill,3,Condominium,1914,"797,701.00","1,608,800",94109,-122.416289,37.797104
11015,337 Ortega St,2495,2,3,1986,8/11/2015,8,2015,1630000,Golden Gate Heights,6,SingleFamily,1951,"1,720,948.00","1,449,000",94122,-122.467292,37.752526
11016,518 Chenery St,2500,1,2,958,3/12/2013,3,2013,860000,Glen Park,5,SingleFamily,1922,"1,374,711.00","1,628,900",94131,-122.43088,37.735414
11017,70 Corona St,5323,2,2,1794,11/19/2013,11,2013,990000,Ingleside Terrace,6,SingleFamily,1923,"1,497,210.00","1,621,200",94127,-122.466751,37.722842
11018,859 26th Ave,2750,1.5,3,1773,8/2/2012,8,2012,880000,Central Richmond,7,SingleFamily,1920,"1,389,717.00","1,480,400",94121,-122.48561,37.773277
11019,4635 25th St,2178,2.5,3,1827,8/2/2012,8,2012,890000,Noe Valley,6,Condominium,1978,"1,479,662.00","1,751,900",94114,-122.441105,37.749085
11020,739 9th Ave,2996,2,3,1751,1/18/2012,1,2012,800000,Inner Richmond,9,Condominium,1913,"1,484,408.00","1,679,000",94118,-122.467361,37.774448
11021,619 6th Ave,2375,2,4,1800,8/2/2012,8,2012,1075000,Inner Richmond,9,SingleFamily,1906,"1,286,539.00","1,679,000",94118,-122.464264,37.776803
11022,121 7th Ave,3000,2,3,1750,8/2/2012,8,2012,1229000,Lake,7,Condominium,1909,"1,604,261.00","2,202,400",94118,-122.466065,37.786195
11023,271 Downey St,1681,2.5,3,1600,8/2/2012,8,2012,1450000,Parnassus - Ashbury,8,SingleFamily,1900,"1,972,326.00","2,111,800",94117,-122.4468,37.764167
11024,542 8th Ave APT A,2996,5,7,5000,8/2/2012,8,2012,1890000,Inner Richmond,16,MultiFamily2To4,2006,"3,328,550.00","1,679,000",94118,-122.4659,37.778188
11025,212 Santa Paula Ave,4795,3.5,4,3800,8/2/2012,8,2012,2210000,St. Francis Wood,9,SingleFamily,1938,"4,234,156.00","3,009,100",94127,-122.463239,37.736567
11026,55 Page St APT 329,25801,2,2,1143,7/31/2012,7,2012,800000,Van Ness - Civic Center,5,Townhouse,2008,"1,186,819.00","839,200",94102,-122.421875,37.773891
